State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Latitude ,Longitude,Year
PA,Healthcare Provider,1845,04/29/2014,Loss,Paper/Films,,,2014
OH,Healthcare Provider,605,08/06/2014,Loss,Paper/Films,,,2014
WY,Healthcare Provider,1607,12/01/2014,Loss,Paper/Films,,,2014
IL,Business Associate,680,02/09/2015,Loss,Paper/Films,,,2015
NC,Healthcare Provider,955,02/09/2015,Loss,Paper/Films,,,2015
KS,Healthcare Provider,4668,03/03/2015,Loss,Paper/Films,,,2015
IN,Healthcare Provider,650,03/20/2015,Loss,Paper/Films,,,2015
MA,Healthcare Provider,2473,03/20/2015,Loss,Paper/Films,,,2015
FL,Healthcare Provider,627,03/24/2015,Loss,Paper/Films,,,2015
OH,Healthcare Provider,2584,04/23/2015,Loss,Paper/Films,,,2015
KS,Healthcare Provider,864,04/28/2015,Loss,Paper/Films,,,2015
IL,Healthcare Provider,1138,05/01/2015,Loss,Paper/Films,,,2015
CA,Healthcare Provider,1339,05/06/2015,Loss,Paper/Films,,,2015
UT,Healthcare Provider,2600,03/22/2013,Loss,Paper/Films,,,2013
PA,Healthcare Provider,8000,04/02/2010,Loss,Paper/Films,,,2010
IL,Healthcare Provider,657,08/05/2010,Loss,Paper/Films,,,2010
MA,Business Associate,10000,08/15/2014,Loss,Paper/Films,,,2014
VA,Business Associate,83000,12/08/2009,Other,Paper/Films,,,2009
RI,Business Associate,528,02/16/2010,Other,Paper/Films,,,2010
FL,Healthcare Provider,3800,03/17/2010,Other,Paper/Films,,,2010
GA,Business Associate,660,04/09/2010,Other,Paper/Films,,,2010
NY,Healthcare Provider,2628,05/20/2010,Other,Paper/Films,,,2010
MN,Health Plan,16291,06/04/2010,Other,Paper/Films,,,2010
CA,Healthcare Provider,1000,06/29/2010,Other,Paper/Films,,,2010
FL,Healthcare Provider,2047,07/08/2010,Other,Paper/Films,,,2010
MN,Business Associate,1097,07/17/2010,Other,Paper/Films,,,2010
SC,Business Associate,1270,09/20/2010,Other,Paper/Films,,,2010
PA,Healthcare Provider,2900,12/07/2011,Other,Paper/Films,,,2011
CA,Health Plan,11081,12/17/2011,Other,Paper/Films,,,2011
CA,Business Associate,1700,01/13/2012,Other,Paper/Films,,,2012
CA,Health Plan,11646,01/19/2012,Other,Paper/Films,,,2012
MN,Health Plan,6678,02/01/2012,Other,Paper/Films,,,2012
CA,Healthcare Provider,1366,02/08/2012,Other,Paper/Films,,,2012
KY,Healthcare Provider,1182,03/06/2012,Other,Paper/Films,,,2012
IL,Business Associate,3482,03/23/2012,Other,Paper/Films,,,2012
AR,Health Plan,2863,12/20/2012,Other,Paper/Films,,,2012
FL,Healthcare Provider,566,02/13/2013,Other,Paper/Films,,,2013
IN,Business Associate,187533,07/01/2013,Other,Paper/Films,,,2013
CA,Health Plan,8331,07/02/2013,Other,Paper/Films,,,2013
IL,Business Associate,3133,07/08/2013,Other,Paper/Films,,,2013
CA,Healthcare Provider,1033,08/16/2013,Other,Paper/Films,,,2013
FL,Healthcare Provider,1471,08/22/2013,Other,Paper/Films,,,2013
WA,Healthcare Provider,1015,10/03/2013,Other,Paper/Films,,,2013
TX,Health Plan,6284,11/01/2013,Other,Paper/Films,,,2013
IL,Healthcare Provider,17350,12/06/2013,Other,Paper/Films,,,2013
TX,Health Plan,2826,12/21/2013,Other,Paper/Films,,,2013
NC,Healthcare Provider,1683,12/23/2013,Other,Paper/Films,,,2013
MI,Business Associate,3000,01/06/2014,Other,Paper/Films,,,2014
IL,Healthcare Provider,836,04/04/2014,Other,Paper/Films,,,2014
NV,Business Associate,4744,05/10/2014,Other,Paper/Films,,,2014
IL,Healthcare Provider,160000,12/15/2014,Other,Paper/Films,,,2014
CA,Business Associate,1368,02/12/2013,Theft,Paper/Films,,,2013
ND,Healthcare Provider,2000,11/12/2013,Theft,Paper/Films,,,2013
VA,Business Associate,1444,01/23/2012,Theft,Paper/Films,,,2012
IL,Health Plan,754,08/21/2012,Theft,Paper/Films,,,2012
FL,Healthcare Provider,64846,09/07/2012,Theft,Paper/Films,,,2012
WA,Health Plan,3104,02/11/2014,Theft,Paper/Films,,,2014
RI,Healthcare Provider,2082,03/29/2013,Theft,Paper/Films,,,2013
TX,Healthcare Provider,1000,10/21/2009,Theft,Paper/Films,,,2009
DC,Business Associate,3400,01/08/2010,Theft,Paper/Films,,,2010
MD,Business Associate,15000,01/11/2010,Theft,Paper/Films,,,2010
PR,Business Associate,1907,02/17/2010,Theft,Paper/Films,,,2010
PR,Business Associate,605,02/17/2010,Theft,Paper/Films,,,2010
TN,Health Plan,3900,02/19/2010,Theft,Paper/Films,,,2010
NY,Healthcare Provider,500,02/25/2010,Theft,Paper/Films,,,2010
NC,Healthcare Provider,554,03/03/2010,Theft,Paper/Films,,,2010
RI,Health Plan,12000,04/21/2010,Theft,Paper/Films,,,2010
CO,Healthcare Provider,649,05/05/2010,Theft,Paper/Films,,,2010
FL,Healthcare Provider,568,05/05/2010,Theft,Paper/Films,,,2010
NY,Business Associate,2631,07/30/2010,Theft,Paper/Films,,,2010
NC,Healthcare Provider,1590,07/30/2010,Theft,Paper/Films,,,2010
MA,Business Associate,24750,08/25/2010,Theft,Paper/Films,,,2010
NV,Healthcare Provider,507,09/10/2010,Theft,Paper/Films,,,2010
RI,Healthcare Provider,1361,09/10/2010,Theft,Paper/Films,,,2010
CA,Healthcare Provider,33000,09/17/2010,Theft,Paper/Films,,,2010
KY,Healthcare Provider,2200,10/05/2010,Theft,Paper/Films,,,2010
FL,Healthcare Provider,1500,11/16/2010,Theft,Paper/Films,,,2010
MD,Business Associate,800,12/29/2010,Theft,Paper/Films,,,2010
CO,Healthcare Provider,546,02/07/2011,Theft,Paper/Films,,,2011
WA,Healthcare Provider,3100,02/09/2011,Theft,Paper/Films,,,2011
AZ,Healthcare Provider,566,04/14/2011,Theft,Paper/Films,,,2011
PA,Healthcare Provider,1388,05/09/2011,Theft,Paper/Films,,,2011
NY,Business Associate,550,05/19/2011,Theft,Paper/Films,,,2011
PR,Healthcare Provider,6006,05/26/2011,Theft,Paper/Films,,,2011
GA,Healthcare Provider,7500,07/15/2011,Theft,Paper/Films,,,2011
IL,Health Plan,501,07/28/2011,Theft,Paper/Films,,,2011
CA,Healthcare Provider,1800,09/07/2011,Theft,Paper/Films,,,2011
PR,Healthcare Provider,2000,09/13/2011,Theft,Paper/Films,,,2011
TX,Healthcare Provider,2541,09/14/2011,Theft,Paper/Films,,,2011
MS,Healthcare Provider,1797,09/20/2011,Theft,Paper/Films,,,2011
NY,Healthcare Provider,2600,09/26/2011,Theft,Paper/Films,,,2011
TN,Healthcare Provider,731,09/28/2011,Theft,Paper/Films,,,2011
FL,Healthcare Provider,2200,10/25/2011,Theft,Paper/Films,,,2011
MI,Business Associate,1100,10/28/2011,Theft,Paper/Films,,,2011
NM,Health Plan,1537,11/13/2011,Theft,Paper/Films,,,2011
NE,Healthcare Provider,611,12/09/2011,Theft,Paper/Films,,,2011
NH,Healthcare Provider,771,01/16/2012,Theft,Paper/Films,,,2012
NJ,Healthcare Provider,1287,02/13/2012,Theft,Paper/Films,,,2012
CA,Healthcare Provider,1431,03/12/2012,Theft,Paper/Films,,,2012
CA,Health Plan,875,03/14/2012,Theft,Paper/Films,,,2012
CA,Healthcare Provider,712,03/29/2012,Theft,Paper/Films,,,2012
TX,Healthcare Provider,502,04/04/2012,Theft,Paper/Films,,,2012
FL,Healthcare Provider,750,04/23/2012,Theft,Paper/Films,,,2012
OR,Healthcare Provider,550,04/26/2012,Theft,Paper/Films,,,2012
TX,Healthcare Provider,750,05/03/2012,Theft,Paper/Films,,,2012
WV,Healthcare Provider,2905,05/10/2012,Theft,Paper/Films,,,2012
CA,Healthcare Provider,745,05/23/2012,Theft,Paper/Films,,,2012
FL,Healthcare Provider,1409,06/14/2012,Theft,Paper/Films,,,2012
IL,Healthcare Provider,1500,07/12/2012,Theft,Paper/Films,,,2012
IA,Healthcare Provider,1298,07/16/2012,Theft,Paper/Films,,,2012
IL,Healthcare Provider,1240,07/30/2012,Theft,Paper/Films,,,2012
NJ,Healthcare Provider,638,10/23/2012,Theft,Paper/Films,,,2012
RI,Healthcare Provider,955,10/26/2012,Theft,Paper/Films,,,2012
IL,Business Associate,508,11/02/2012,Theft,Paper/Films,,,2012
GA,Healthcare Provider,1306,11/27/2012,Theft,Paper/Films,,,2012
FL,Healthcare Provider,4907,12/07/2012,Theft,Paper/Films,,,2012
AZ,Healthcare Provider,35488,12/21/2012,Theft,Paper/Films,,,2012
NY,Health Plan,1771,01/02/2013,Theft,Paper/Films,,,2013
NY,Business Associate,725,01/22/2013,Theft,Paper/Films,,,2013
WI,Healthcare Provider,2400,01/25/2013,Theft,Paper/Films,,,2013
CA,Health Plan,686,02/25/2013,Theft,Paper/Films,,,2013
OH,Business Associate,2261,03/01/2013,Theft,Paper/Films,,,2013
PA,Healthcare Provider,527,03/04/2013,Theft,Paper/Films,,,2013
TX,Healthcare Provider,554,04/05/2013,Theft,Paper/Films,,,2013
MO,Healthcare Provider,589,04/11/2013,Theft,Paper/Films,,,2013
NC,Healthcare Provider,1093,06/14/2013,Theft,Paper/Films,,,2013
FL,Healthcare Provider,5200,06/24/2013,Theft,Paper/Films,,,2013
AZ,Business Associate,4305,07/02/2013,Theft,Paper/Films,,,2013
OH,Healthcare Provider,2203,07/03/2013,Theft,Paper/Films,,,2013
MN,Healthcare Provider,2764,07/10/2013,Theft,Paper/Films,,,2013
PA,Healthcare Provider,2350,10/03/2013,Theft,Paper/Films,,,2013
VA,Business Associate,25513,01/10/2014,Theft,Paper/Films,,,2014
CT,Healthcare Provider,858,01/16/2014,Theft,Paper/Films,,,2014
MT,Healthcare Provider,543,03/24/2014,Theft,Paper/Films,,,2014
VA,Business Associate,75026,04/10/2014,Theft,Paper/Films,,,2014
AL,Healthcare Provider,629,04/25/2014,Theft,Paper/Films,,,2014
IL,Business Associate,5696,04/30/2014,Theft,Paper/Films,,,2014
PA,Business Associate,2589,07/08/2014,Theft,Paper/Films,,,2014
PA,Healthcare Provider,661,07/16/2014,Theft,Paper/Films,,,2014
WA,Healthcare Provider,522,07/30/2014,Theft,Paper/Films,,,2014
CA,Healthcare Provider,500,08/18/2014,Theft,Paper/Films,,,2014
GA,Healthcare Provider,2350,08/25/2014,Theft,Paper/Films,,,2014
TN,Business Associate,566,09/04/2014,Theft,Paper/Films,,,2014
TN,Business Associate,800,09/12/2014,Theft,Paper/Films,,,2014
NY,Healthcare Provider,20000,10/22/2014,Theft,Paper/Films,,,2014
OR,Healthcare Provider,1740,10/29/2014,Theft,Paper/Films,,,2014
CA,Business Associate,2691,11/14/2014,Theft,Paper/Films,,,2014
PA,Healthcare Provider,860,11/19/2014,Theft,Paper/Films,,,2014
TX,Healthcare Provider,4920,01/16/2015,Theft,Paper/Films,,,2015
CA,Healthcare Provider,1342,03/05/2015,Theft,Paper/Films,,,2015
MI,Health Plan,3903,03/17/2015,Theft,Paper/Films,,,2015
CA,Healthcare Provider,826,04/02/2015,Theft,Paper/Films,,,2015
CA,Healthcare Provider,880,04/29/2015,Theft,Paper/Films,,,2015
AZ,Healthcare Provider,654,05/11/2011,Theft,Paper/Films,,,2011
PA,Business Associate,579,09/28/2011,Theft,Paper/Films,,,2011
CA,Business Associate,700,10/07/2011,Theft,Paper/Films,,,2011
IN,Healthcare Provider,1423,01/26/2012,Theft,Paper/Films,,,2012
MI,Healthcare Provider,1087,03/13/2014,Theft,Paper/Films,,,2014
GA,Business Associate,2523,04/17/2014,Theft,Paper/Films,,,2014
NJ,Healthcare Provider,2828,05/09/2014,Theft,Paper/Films,,,2014
VA,Healthcare Provider,568,10/10/2014,Theft,Paper/Films,,,2014
IN,Healthcare Provider,845,11/12/2010,Unauthorized Access/Disclosure,Paper/Films,,,2010
CA,Healthcare Provider,771,11/25/2010,Unauthorized Access/Disclosure,Paper/Films,,,2010
MI,Business Associate,9475,12/03/2010,Unauthorized Access/Disclosure,Paper/Films,,,2010
AZ,Business Associate,4500,03/01/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
MD,Business Associate,765,03/18/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
WV,Healthcare Provider,1470,03/30/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
AL,Business Associate,13412,05/25/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
WV,Healthcare Provider,950,06/16/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
CA,Health Plan,694,06/29/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
AL,Healthcare Provider,880,07/08/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
TX,Business Associate,4573,07/22/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
UT,Business Associate,1378,07/22/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
CA,Healthcare Provider,1500,07/29/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
WA,Health Plan,3950,08/09/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
TN,Health Plan,1770,11/28/2011,Unauthorized Access/Disclosure,Paper/Films,,,2011
DC,Healthcare Provider,1549,02/15/2012,Unauthorized Access/Disclosure,Paper/Films,,,2012
MI,Business Associate,555,04/10/2012,Unauthorized Access/Disclosure,Paper/Films,,,2012
CA,Healthcare Provider,1370,11/29/2012,Unauthorized Access/Disclosure,Paper/Films,,,2012
OH,Business Associate,635,01/08/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
AZ,Health Plan,852,01/08/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
MA,Business Associate,3667,02/19/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
TX,Healthcare Provider,697,03/22/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
CA,Business Associate,2400,03/29/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
PA,Business Associate,3794,04/05/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
OR,Healthcare Provider,959,06/14/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
MO,Business Associate,1357,08/13/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
MO,Business Associate,25461,09/20/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
TN,Business Associate,4330,10/04/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
NC,Health Plan,687,11/07/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
PR,Business Associate,13336,11/08/2013,Unauthorized Access/Disclosure,Paper/Films,,,2013
OH,Business Associate,1420,01/27/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
FL,Business Associate,580,03/31/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
TN,Healthcare Provider,1144,04/14/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
DC,Business Associate,2200,04/24/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
IA,Health Plan,862,04/25/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
PR,Health Plan,11531,05/18/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
PR,Health Plan,56853,05/29/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
CA,Healthcare Provider,592,07/04/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
IN,Business Associate,63325,07/09/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
MN,Health Plan,500,07/17/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
NY,Health Plan,802,08/27/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
GA,Healthcare Provider,10000,09/04/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
IN,Health Plan,1464,09/08/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
SC,Healthcare Provider,3637,09/10/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
IL,Healthcare Provider,1866,09/10/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
NM,Healthcare Provider,2657,09/18/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
PA,Business Associate,1667,10/07/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
TX,Healthcare Provider,4000,10/09/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
NC,Healthcare Provider,1872,10/09/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
NY,Healthcare Provider,10058,10/10/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
TX,Business Associate,4469,11/25/2014,Unauthorized Access/Disclosure,Paper/Films,,,2014
MD,Health Plan,630,01/29/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
IN,Healthcare Provider,63325,02/27/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
OR,Healthcare Provider,2207,03/05/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
FL,Healthcare Provider,1406,03/20/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
CO,Healthcare Provider,508,04/02/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
TN,Health Plan,862,04/02/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
GA,Health Plan,958,04/02/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
MN,Healthcare Provider,838,04/06/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
IL,Healthcare Provider,2984,04/13/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
OH,Healthcare Provider,2000,04/27/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
GA,Health Plan,6166,05/15/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
IL,Healthcare Provider,8300,05/21/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
NY,Healthcare Provider,3403,05/22/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
WA,Health Plan,2700,06/08/2011,Other,Paper/Films,,,2011
MO,Healthcare Provider,1288,06/23/2011,Other,Paper/Films,,,2011
NC,Healthcare Provider,551,10/28/2011,Other,Paper/Films,,,2011
IL,Healthcare Provider,1300,01/28/2010,Theft,Paper/Films,,,2010
MN,Health Plan,735,04/27/2010,Theft,Paper/Films,,,2010
FL,Healthcare Provider,8000,05/11/2011,Theft,Paper/Films,,,2011
MD,Healthcare Provider,5000,11/03/2011,Theft,Paper/Films,,,2011
PA,Healthcare Provider,2345,06/03/2015,Theft,Paper/Films,,,2015
NY,Healthcare Provider,7448,03/11/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
MD,Healthcare Provider,500,06/09/2015,Unauthorized Access/Disclosure,Paper/Films,,,2015
TX,Healthcare Provider,3800,01/18/2010,Loss,Portable Electronic Device,,,2010
TN,Healthcare Provider,1711,08/16/2010,Loss,Portable Electronic Device,,,2010
NY,Healthcare Provider,1200,08/27/2010,Loss,Portable Electronic Device,,,2010
PA,Health Plan,808,12/30/2010,Loss,Portable Electronic Device,,,2010
TX,Business Associate,16200,01/18/2011,Loss,Portable Electronic Device,,,2011
AZ,Healthcare Provider,2291,02/21/2011,Loss,Portable Electronic Device,,,2011
MI,Healthcare Provider,2777,02/23/2011,Loss,Portable Electronic Device,,,2011
VA,Business Associate,4000,09/22/2011,Loss,Portable Electronic Device,,,2011
CT,Business Associate,1631,10/03/2011,Loss,Portable Electronic Device,,,2011
CA,Business Associate,29000,07/06/2010,Loss,Portable Electronic Device,,,2010
KY,Healthcare Provider,24600,12/29/2010,Loss,Portable Electronic Device,,,2010
TX,Healthcare Provider,9922,02/13/2011,Loss,Portable Electronic Device,,,2011
KY,Healthcare Provider,1986,06/02/2011,Loss,Portable Electronic Device,,,2011
GA,Business Associate,11440,08/05/2010,Other,Portable Electronic Device,,,2010
AK,Healthcare Provider,501,10/30/2009,Theft,Portable Electronic Device,,,2009
CA,Healthcare Provider,15500,01/12/2010,Theft,Portable Electronic Device,,,2010
TX,Healthcare Provider,21000,03/10/2010,Theft,Portable Electronic Device,,,2010
KY,Healthcare Provider,5148,04/26/2010,Theft,Portable Electronic Device,,,2010
IL,Business Associate,180111,04/29/2010,Theft,Portable Electronic Device,,,2010
NY,Healthcare Provider,800,07/07/2010,Theft,Portable Electronic Device,,,2010
NM,Healthcare Provider,1000,08/25/2010,Theft,Portable Electronic Device,,,2010
NY,Business Associate,956,08/26/2010,Theft,Portable Electronic Device,,,2010
AK,Business Associate,2000,09/22/2010,Theft,Portable Electronic Device,,,2010
CA,Business Associate,1474,09/23/2010,Theft,Portable Electronic Device,,,2010
CA,Business Associate,1474,09/23/2010,Theft,Portable Electronic Device,,,2010
AR,Healthcare Provider,1000,10/18/2010,Theft,Portable Electronic Device,,,2010
CA,Healthcare Provider,1250,12/22/2010,Theft,Portable Electronic Device,,,2010
AL,Healthcare Provider,2000,12/30/2010,Theft,Portable Electronic Device,,,2010
WA,Healthcare Provider,12009,01/21/2011,Theft,Portable Electronic Device,,,2011
TX,Healthcare Provider,8241,01/25/2011,Theft,Portable Electronic Device,,,2011
FL,Business Associate,2700,02/15/2011,Theft,Portable Electronic Device,,,2011
AZ,Healthcare Provider,635,03/31/2011,Theft,Portable Electronic Device,,,2011
,Business Associate,10000,04/04/2011,Theft,Portable Electronic Device,,,2011
OR,Business Associate,17000,06/08/2011,Theft,Portable Electronic Device,,,2011
SC,Healthcare Provider,1280,06/09/2011,Theft,Portable Electronic Device,,,2011
WA,Healthcare Provider,1105,06/17/2011,Theft,Portable Electronic Device,,,2011
NJ,Business Associate,8795,08/08/2011,Theft,Portable Electronic Device,,,2011
GA,Healthcare Provider,63425,08/15/2011,Theft,Portable Electronic Device,,,2011
NJ,Business Associate,32008,08/18/2011,Theft,Portable Electronic Device,,,2011
IN,Healthcare Provider,2059,09/08/2011,Theft,Portable Electronic Device,,,2011
MA,Healthcare Provider,2200,10/07/2011,Theft,Portable Electronic Device,,,2011
TX,Healthcare Provider,567,10/31/2011,Theft,Portable Electronic Device,,,2011
CA,,2761,11/04/2011,Theft,Portable Electronic Device,,,2011
PR,Business Associate,115000,11/09/2010,Unauthorized Access/Disclosure,Portable Electronic Device,,,2010
WA,Healthcare Provider,2000,01/29/2015,Theft,Portable Electronic Device,,,2015
TX,Business Associate,2260,03/17/2014,Improper Disposal,Portable Electronic Device,,,2014
NY,Healthcare Provider,857,09/07/2010,Loss,Portable Electronic Device,,,2010
IA,Healthcare Provider,19222,09/11/2010,Loss,Portable Electronic Device,,,2010
KY,Healthcare Provider,878,11/23/2011,Loss,Portable Electronic Device,,,2011
LA,Healthcare Provider,2088,02/20/2012,Loss,Portable Electronic Device,,,2012
AZ,Healthcare Provider,9565,04/09/2012,Loss,Portable Electronic Device,,,2012
CA,Healthcare Provider,3900,05/14/2012,Loss,Portable Electronic Device,,,2012
GA,Healthcare Provider,824,06/04/2012,Loss,Portable Electronic Device,,,2012
NC,Healthcare Provider,2917,07/17/2012,Loss,Portable Electronic Device,,,2012
TX,Healthcare Provider,2264,08/17/2012,Loss,Portable Electronic Device,,,2012
NV,Business Associate,5713,09/14/2012,Loss,Portable Electronic Device,,,2012
TX,Healthcare Provider,5748,11/16/2012,Loss,Portable Electronic Device,,,2012
VA,Healthcare Provider,1846,11/30/2012,Loss,Portable Electronic Device,,,2012
MA,Business Associate,6332,03/06/2013,Loss,Portable Electronic Device,,,2013
NY,Healthcare Provider,537,05/06/2013,Loss,Portable Electronic Device,,,2013
NE,Healthcare Provider,2125,06/26/2013,Loss,Portable Electronic Device,,,2013
NY,Healthcare Provider,2700,07/20/2013,Loss,Portable Electronic Device,,,2013
NY,Healthcare Provider,610,10/21/2013,Loss,Portable Electronic Device,,,2013
PA,Healthcare Provider,1167,11/01/2013,Loss,Portable Electronic Device,,,2013
NY,Healthcare Provider,2279,11/13/2013,Loss,Portable Electronic Device,,,2013
